Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.40,Crown,Hardcover,384,2014,2011,,2021/04/08,,,read,,,,1,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",3,4.17,Bantam,Hardcover,244,2004,1951,,2021/04/08,,,read,,,,1,,,0,,,,,
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,4.08,Ballantine Books,Kindle Edition,258,2008,1968,,2021/04/08,,,read,,,,1,,,0,,,,,
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",3,4.05,Knopf,Hardcover,333,2014,2014,,2021/04/08,,,read,,,,1,,,0,,,,,
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,4.01,Crown,Hardcover,342,2006,2006,,2021/04/08,,,read,,,,1,,,0,,,,,
89187,"Revelation Space (Revelation Space, #1)",Alastair Reynolds,"Reynolds, Alastair",,"=""0441009425""","=""9780441009428""",0,3.99,Ace Books,Mass Market Paperback,585,2002,2000,,2020/11/28,,,read,,,,1,,,0,,,,,
584608,"Language, Truth, and Logic",A.J. Ayer,"Ayer, A.J.",,"=""0486200108""","=""9780486200101""",2,3.76,Dover Publications (NYC),Paperback,160,1952,1936,,2021/03/30,,,read,"*read first chapter<br/><br/>""everything meaningful is metaphysical and not answerable by philosophy""",,,1,,,0,,,,,
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,"=""0061474096""","=""9780061474095""",0,4.14,William Morrow,Hardcover,937,2008,2008,,2021/03/10,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
13651,"The Dispossessed (Hainish Cycle, #6)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",4,4.20,Harper Voyager,Paperback,387,1994,1974,,2021/02/17,,,read,This is what Doctorow is trying to copy lol,,,2,,,0,,,,,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,"=""0571224385""","=""9780571224388""",5,4.10,Harper Perennial,Paperback,320,2009,1984,,2021/02/13,,,read,Best book probably,,,1,,,0,,,,,
